type,ctc_c,u6_bonus,ps,value_all,value_ctc
Nonref,2000,0,CL,209.4,114.5
Nonref,2000,0,NO,212,117.5
Nonref,2000,500,CL,215.1,120.6
Nonref,2000,500,NO,218.8,124.2
Nonref,2000,1000,CL,221,126.5
Nonref,2000,1000,NO,224.9,130.3
Nonref,2500,0,CL,227.5,133
Nonref,2500,0,NO,231.6,137.1
Nonref,2500,500,CL,233.4,138.9
Nonref,2500,500,NO,237.7,143.2
Nonref,2500,1000,CL,238.8,144.2
Nonref,2500,1000,NO,243.3,148.8
Nonref,3000,0,CL,244.2,149.6
Nonref,3000,0,NO,248.9,154.4
Nonref,3000,500,CL,249.6,155
Nonref,3000,500,NO,254.6,160
Nonref,3000,1000,CL,254.6,160.1
Nonref,3000,1000,NO,259.8,165.3
Nonref,3500,0,CL,259.1,164.6
Nonref,3500,0,NO,264.5,170
Nonref,3500,500,CL,264.2,169.7
Nonref,3500,500,NO,269.8,175.3
Nonref,3500,1000,CL,268.9,174.4
Nonref,3500,1000,NO,274.7,180.2
Refund,2000,0,CL,231.7,137.1
Refund,2000,0,NO,235.1,140.6
Refund,2000,500,CL,241.4,146.9
Refund,2000,500,NO,245,150.5
Refund,2000,1000,CL,251.1,156.6
Refund,2000,1000,NO,254.9,160.4
Refund,2500,0,CL,266.1,171.6
Refund,2500,0,NO,270.2,175.7
Refund,2500,500,CL,275.8,181.3
Refund,2500,500,NO,280.1,185.6
Refund,2500,1000,CL,285.6,191
Refund,2500,1000,NO,290,195.5
Refund,3000,0,CL,300.6,206
Refund,3000,0,NO,305.4,210.8
Refund,3000,500,CL,310.3,215.8
Refund,3000,500,NO,315.3,220.7
Refund,3000,1000,CL,320.1,225.5
Refund,3000,1000,NO,325.2,230.6
Refund,3500,0,CL,335.1,240.5
Refund,3500,0,NO,340.5,246
Refund,3500,500,CL,344.8,250.3
Refund,3500,500,NO,350.4,255.9
Refund,3500,1000,CL,354.6,260.1
Refund,3500,1000,NO,360.3,265.8
CL,,,,209.4,114.5
Biden,,,,327.1,224
WNM,,,,331.7,215.2
Romney,,,,273.8,236.3
